feature,importance
early_erosion,0.19341703
n_gxs,0.076311655
months_postgx,0.064981565
n_gxs_at_entry,0.057093643
vol_cv,0.053124595
vol_stability,0.05192244
hospital_rate,0.0453173
vol_momentum_12m,0.04377855
main_package,0.042795476
vol_trend_24m,0.042448286
vol_trend_12m,0.04224564
ratio_last_6,0.040793672
small_molecule,0.04073693
ratio_last_3,0.040705763
vol_momentum_6m,0.037414152
vol_std,0.035970125
avg_vol,0.03585828
ther_area,0.034561094
month,0.020523807
ratio_last_12,0.0
