fold,final_pe,metric1_pe,metric2_pe,scenario1_count,scenario2_count
1,0.7898215110115278,0.7898215110115278,,391,0
2,0.8459664827218363,0.8459664827218363,,391,0
3,0.8467461054946834,0.8467461054946834,,391,0
4,0.8970988009376313,0.8970988009376313,,390,0
5,0.8771899179799227,0.8771899179799227,,390,0
