fold,final_pe,metric1_pe,metric2_pe,scenario1_count,scenario2_count
1,0.7651940534183888,0.7651940534183888,,391,0
2,0.8282539540967129,0.8282539540967129,,391,0
3,0.82751646559093,0.82751646559093,,391,0
4,0.8908403290252015,0.8908403290252015,,390,0
5,0.900872405539852,0.900872405539852,,390,0
